Location,Country,Disease,Species,HealthMap Alert ID,Headline,URL,Issue Date,Alert Tag,SC,SD,CC,CD,RO,Feed Name,Lon,Lat,Place Categories
"Nzerekore, Guinea",Guinea,Ebola,Humans,4128649,Death toll rises to 7 in Guinea Ebola outbreak,http://news.google.com/news/url?sa=t&fd=R&ct2=us&usg=AFQjCNE7EuiUkbV0udrwduA8QrKRCAEkQA&clid=c3a7d30bb8a4878e06b80cf16b898331&cid=52779071074582&ei=TTD8VojcGNLU3gGa8KoY&url=http://www.thepeninsulaqatar.com/news/international/376524/death-toll-rises-to-7-in-guinea-ebola-outbreak,3/30/16 15:01,Breaking,,,,1,,Google News,-8.816667,7.75,
"Koropara, Guinea",Guinea,Ebola,Humans,4128649,Death toll rises to 7 in Guinea Ebola outbreak,http://news.google.com/news/url?sa=t&fd=R&ct2=us&usg=AFQjCNE7EuiUkbV0udrwduA8QrKRCAEkQA&clid=c3a7d30bb8a4878e06b80cf16b898331&cid=52779071074582&ei=TTD8VojcGNLU3gGa8KoY&url=http://www.thepeninsulaqatar.com/news/international/376524/death-toll-rises-to-7-in-guinea-ebola-outbreak,3/30/16 15:01,Breaking,,,,6,,Google News,-8.7,7.95,
Guinea,Guinea,Ebola,Humans,4128649,Death toll rises to 7 in Guinea Ebola outbreak,http://news.google.com/news/url?sa=t&fd=R&ct2=us&usg=AFQjCNE7EuiUkbV0udrwduA8QrKRCAEkQA&clid=c3a7d30bb8a4878e06b80cf16b898331&cid=52779071074582&ei=TTD8VojcGNLU3gGa8KoY&url=http://www.thepeninsulaqatar.com/news/international/376524/death-toll-rises-to-7-in-guinea-ebola-outbreak,3/30/16 15:01,Breaking,,,,7,,Google News,-10.94177,10.43821,
"Magburaka, Northern Province, Sierra Leone",Sierra Leone,Ebola,Humans,4126990,Hundreds died on Ebola Quarantine in Sierra Leone ‰ÛÒ Clarksville Health - Daily Star Gazette,http://news.google.com/news/url?sa=t&fd=R&ct2=us&usg=AFQjCNEh9wA3GKsp50deN3f779KXmyJqbQ&clid=c3a7d30bb8a4878e06b80cf16b898331&cid=52779071074582&ei=kWv7VsjeLIfL3QG8pajIAg&url=http://www.albanydailystar.com/health/hundreds-died-on-ebola-quarantine-in-sierra-leone-clarksville-health-15490.html,3/29/16 23:36,Breaking,,,,1,,Google News,-11.95,8.71667,Quarantine
Sierra Leone,Sierra Leone,Ebola,Humans,4126990,Hundreds died on Ebola Quarantine in Sierra Leone ‰ÛÒ Clarksville Health - Daily Star Gazette,http://news.google.com/news/url?sa=t&fd=R&ct2=us&usg=AFQjCNEh9wA3GKsp50deN3f779KXmyJqbQ&clid=c3a7d30bb8a4878e06b80cf16b898331&cid=52779071074582&ei=kWv7VsjeLIfL3QG8pajIAg&url=http://www.albanydailystar.com/health/hundreds-died-on-ebola-quarantine-in-sierra-leone-clarksville-health-15490.html,3/29/16 23:36,Breaking,,,,1,,Google News,-11.79192,8.56028,Quarantine
Guinea,Guinea,Ebola,Humans,4125792,Ebola outbreak in West Africa no longer a global risk: WHO - CBC.ca,http://news.google.com/news/url?sa=t&fd=R&ct2=us&usg=AFQjCNFd9R0X1VGQYxYe-RIEOgpNM-8lYg&clid=c3a7d30bb8a4878e06b80cf16b898331&cid=52779071074582&ei=ycL6VqiYOZGV3AHPwY_YDA&url=http://www.cbc.ca/news/health/ebola-who-west-africa-1.3510846,3/29/16 13:42,Breaking,,,,,,Google News,-10.94177,10.43821,
Sierra Leone,Sierra Leone,Ebola,Humans,4125792,Ebola outbreak in West Africa no longer a global risk: WHO - CBC.ca,http://news.google.com/news/url?sa=t&fd=R&ct2=us&usg=AFQjCNFd9R0X1VGQYxYe-RIEOgpNM-8lYg&clid=c3a7d30bb8a4878e06b80cf16b898331&cid=52779071074582&ei=ycL6VqiYOZGV3AHPwY_YDA&url=http://www.cbc.ca/news/health/ebola-who-west-africa-1.3510846,3/29/16 13:42,Breaking,,,,,,Google News,-11.79192,8.56028,
Liberia,Liberia,Ebola,Humans,4125792,Ebola outbreak in West Africa no longer a global risk: WHO - CBC.ca,http://news.google.com/news/url?sa=t&fd=R&ct2=us&usg=AFQjCNFd9R0X1VGQYxYe-RIEOgpNM-8lYg&clid=c3a7d30bb8a4878e06b80cf16b898331&cid=52779071074582&ei=ycL6VqiYOZGV3AHPwY_YDA&url=http://www.cbc.ca/news/health/ebola-who-west-africa-1.3510846,3/29/16 13:42,Breaking,,,,,,Google News,-9.30791,6.44809,
"Paynesville Zone District, Monrovia, Liberia",Liberia,Ebola,Humans,4124067,Ebola Incubus returned Liberia after disease free ‰ÛÒ Glendale Health News - Daily Star Gazette,http://news.google.com/news/url?sa=t&fd=R&ct2=us&usg=AFQjCNHqPwHJ2u8Mx8Y5PGO0ppA7GPvPFg&clid=c3a7d30bb8a4878e06b80cf16b898331&cid=52779071074582&ei=pcX5VrCZHIrG3QGFpajYCA&url=http://www.albanydailystar.com/health/ebola-incubus-returned-liberia-after-disease-free-glendale-health-news-11070.html,3/28/16 7:32,Breaking,,,3,,,Google News,-10.70908,6.26752,
Liberia,Liberia,Ebola,Humans,4124067,Ebola Incubus returned Liberia after disease free ‰ÛÒ Glendale Health News - Daily Star Gazette,http://news.google.com/news/url?sa=t&fd=R&ct2=us&usg=AFQjCNHqPwHJ2u8Mx8Y5PGO0ppA7GPvPFg&clid=c3a7d30bb8a4878e06b80cf16b898331&cid=52779071074582&ei=pcX5VrCZHIrG3QGFpajYCA&url=http://www.albanydailystar.com/health/ebola-incubus-returned-liberia-after-disease-free-glendale-health-news-11070.html,3/28/16 7:32,Breaking,,,3,,,Google News,-9.30791,6.44809,
